"","y.1","y.2","y.3","y.4","y.5"
"5881",1,0,0,1,1
"5882",0,1,1,0,0
"5883",0,1,1,1,0
"6047",1,0,1,1,NA
"6048",0,0,NA,NA,NA
"6222",0,NA,NA,NA,NA
"6891",0,NA,NA,NA,NA
"6898",0,0,NA,NA,NA
"7057",0,NA,NA,NA,NA
"7066",0,NA,NA,NA,NA
"7228",0,0,0,0,0
"7391",0,0,0,0,1
"7392",0,0,0,0,0
"7393",0,NA,NA,NA,NA
"7394",0,0,0,0,0
"7557",0,1,NA,NA,NA
"7558",0,1,0,0,0
"7559",1,NA,NA,NA,NA
"7560",0,0,1,NA,NA
"7718",0,NA,NA,NA,NA
"7720",0,NA,NA,NA,NA
"7723",1,0,0,NA,NA
"7724",0,0,0,NA,NA
"7725",1,NA,NA,NA,NA
"7726",0,0,0,0,NA
"7887",0,0,0,NA,NA
"7888",0,0,0,0,1
"7890",0,NA,NA,NA,NA
"7891",1,0,0,1,1
"7892",0,0,0,0,0
"7894",1,NA,NA,NA,NA
"8051",0,1,1,0,0
"8053",0,0,0,0,0
"8054",0,NA,NA,NA,NA
"8057",0,0,0,0,0
"8058",0,0,NA,NA,NA
"8059",0,0,0,0,0
"8063",0,0,0,NA,NA
"8219",0,0,0,0,0
"8220",0,0,0,0,0
"8224",0,NA,NA,NA,NA
"8231",0,NA,NA,NA,NA
"8385",0,1,0,1,1
"8386",0,0,1,0,0
"8389",0,NA,NA,NA,NA
"8390",0,NA,NA,NA,NA
"8391",0,0,0,0,0
"8392",0,0,NA,NA,NA
"8393",0,0,0,1,0
"8397",0,0,NA,NA,NA
"8557",1,NA,NA,NA,NA
"8560",0,NA,NA,NA,NA
"8726",0,1,1,NA,NA
"8889",0,1,0,0,0
"8890",0,0,0,0,0
"8891",0,NA,NA,NA,NA
"9051",1,NA,NA,NA,NA
"9053",0,1,NA,NA,NA
"9054",0,NA,NA,NA,NA
"9066",0,NA,NA,NA,NA
"9232",0,NA,NA,NA,NA
"9557",0,0,0,0,0
"9720",0,NA,NA,NA,NA
"9722",0,NA,NA,NA,NA
"9723",0,NA,NA,NA,NA
"9890",1,NA,NA,NA,NA
"9897",0,NA,NA,NA,NA
"10056",1,NA,NA,NA,NA
"10384",0,0,0,0,0
"10385",0,0,0,0,NA
"10718",0,NA,NA,NA,NA
"10882",0,NA,NA,NA,NA
"10883",0,0,NA,NA,NA
"10885",0,NA,NA,NA,NA
"11045",0,0,0,0,0
"11050",0,NA,NA,NA,NA
"11051",0,0,NA,NA,NA
"11210",0,0,NA,NA,NA
"11212",0,NA,NA,NA,NA
"11213",0,NA,NA,NA,NA
"11383",0,NA,NA,NA,NA
"11542",1,0,NA,NA,NA
"11543",0,0,0,0,1
"11705",0,1,0,0,0
"11706",0,0,0,0,0
"11707",0,0,0,0,0
"11708",0,0,0,0,0
"11710",0,0,NA,NA,NA
"11869",0,NA,NA,NA,NA
"11870",0,0,NA,NA,NA
"11871",0,0,NA,NA,NA
"11872",0,0,0,0,0
"11873",0,0,0,1,0
"11874",0,0,0,0,0
"12045",0,NA,NA,NA,NA
"12046",0,0,0,0,0
"12047",0,NA,NA,NA,NA
"12211",0,0,0,0,0
"12212",0,0,0,0,0
"12213",0,0,0,0,0
"12217",0,NA,NA,NA,NA
"12379",0,0,0,0,0
"12380",0,0,0,0,0
"12381",0,0,0,NA,NA
"12543",0,1,0,NA,NA
"12545",0,NA,NA,NA,NA
"12547",0,0,0,0,1
"13240",0,NA,NA,NA,NA
"13534",0,NA,NA,NA,NA
