"","y.1","y.2","y.3","y.4","y.5"
"7391",0,1,0,0,0
"7392",1,0,0,0,0
"7393",1,NA,NA,NA,NA
"7394",0,0,0,1,1
"7557",0,NA,NA,NA,NA
"7558",0,0,1,NA,NA
"7559",1,NA,NA,NA,NA
"7560",0,0,NA,NA,NA
"7720",0,NA,NA,NA,NA
"7723",0,0,1,NA,NA
"7724",0,0,NA,NA,NA
"7725",1,NA,NA,NA,NA
"7726",0,NA,NA,NA,NA
"7887",0,0,0,NA,NA
"7888",0,0,1,1,0
"7890",0,NA,NA,NA,NA
"7891",0,1,0,1,1
"7892",1,NA,NA,NA,NA
"8051",1,1,1,1,1
"8053",0,1,1,0,1
"8054",0,NA,NA,NA,NA
"8219",1,1,0,0,0
"8220",0,1,1,1,1
"8385",1,0,0,1,NA
"8386",1,0,1,0,0
"8393",0,NA,NA,NA,NA
"9053",0,NA,NA,NA,NA
"9054",0,NA,NA,NA,NA
"9557",0,0,0,0,0
"9722",0,NA,NA,NA,NA
"9723",0,NA,NA,NA,NA
"9890",1,NA,NA,NA,NA
"10056",1,NA,NA,NA,NA
"10385",1,NA,NA,NA,NA
"10718",1,NA,NA,NA,NA
"10882",0,NA,NA,NA,NA
"11045",0,1,0,1,1
"11051",1,0,NA,NA,NA
"11210",0,0,NA,NA,NA
"11212",1,NA,NA,NA,NA
"11383",0,NA,NA,NA,NA
"11542",0,0,NA,NA,NA
"11543",1,0,1,0,1
"11705",0,1,0,1,0
"11706",0,0,1,0,0
"11707",1,0,0,1,1
"11708",0,0,0,0,0
"11869",1,NA,NA,NA,NA
"11870",0,0,NA,NA,NA
"11873",0,0,1,0,NA
"11874",0,NA,NA,NA,NA
"12212",0,0,1,NA,NA
"12380",0,0,NA,NA,NA
"12543",0,1,NA,NA,NA
"12545",0,NA,NA,NA,NA
"12547",1,1,1,0,0
"13240",0,NA,NA,NA,NA
